url	source_name	name	form	rig
https://superreview.squig.link/data/Tanchjim%20Fission%20deep%20L.txt	Tanchjim Fission (nozzle: silver :: switch: atmosphere :: insert: deep)	Tanchjim Fission (nozzle silver switch atmosphere insert deep)	ignore	711
https://superreview.squig.link/data/Tanchjim%20Fission%20deep%20R.txt	Tanchjim Fission (nozzle: silver :: switch: atmosphere :: insert: deep)	Tanchjim Fission (nozzle silver switch atmosphere insert deep)	ignore	711
https://superreview.squig.link/data/Tanchjim%20Fission%20shallow%20L.txt	Tanchjim Fission (nozzle: silver :: switch: atmosphere :: insert: shallow)	Tanchjim Fission (nozzle silver switch atmosphere insert shallow)	ignore	711
https://superreview.squig.link/data/Tanchjim%20Fission%20shallow%20R.txt	Tanchjim Fission (nozzle: silver :: switch: atmosphere :: insert: shallow)	Tanchjim Fission (nozzle silver switch atmosphere insert shallow)	ignore	711
https://superreview.squig.link/data/Tanchjim%20Fission%20L.txt	Tanchjim Fission (nozzle: silver :: switch: atmosphere)	Tanchjim Fission (silver nozzle, atmosphere switch)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Fission%20R.txt	Tanchjim Fission (nozzle: silver :: switch: atmosphere)	Tanchjim Fission (silver nozzle, atmosphere switch)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Fission%20down%20L.txt	Tanchjim Fission (nozzle: silver :: switch: monitoring)	Tanchjim Fission (silver nozzle, monitoring switch)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Fission%20down%20R.txt	Tanchjim Fission (nozzle: silver :: switch: monitoring)	Tanchjim Fission (silver nozzle, monitoring switch)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Fission%20back%20L.txt	Tanchjim Fission (nozzle: silver :: switch: natural)	Tanchjim Fission (silver nozzle, natural switch)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Fission%20back%20R.txt	Tanchjim Fission (nozzle: silver :: switch: natural)	Tanchjim Fission (silver nozzle, natural switch)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Fission%20up%20L.txt	Tanchjim Fission (nozzle: silver :: switch: pop)	Tanchjim Fission (silver nozzle, pop switch)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Fission%20up%20R.txt	Tanchjim Fission (nozzle: silver :: switch: pop)	Tanchjim Fission (silver nozzle, pop switch)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20deep%20L.txt	Tanchjim Fola (nozzle: long :: insert: deep)	Tanchjim Fola (nozzle long insert deep)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20deep%20R.txt	Tanchjim Fola (nozzle: long :: insert: deep)	Tanchjim Fola (nozzle long insert deep)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20shallow%20L.txt	Tanchjim Fola (nozzle: long :: insert: shallow)	Tanchjim Fola (nozzle long insert shallow)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20shallow%20R.txt	Tanchjim Fola (nozzle: long :: insert: shallow)	Tanchjim Fola (nozzle long insert shallow)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20L.txt	Tanchjim Fola (nozzle: long)	Tanchjim Fola (nozzle long)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20R.txt	Tanchjim Fola (nozzle: long)	Tanchjim Fola (nozzle long)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20nozzleB%20L.txt	Tanchjim Fola (nozzle: medium)	Tanchjim Fola (nozzle medium)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20nozzleB%20R.txt	Tanchjim Fola (nozzle: medium)	Tanchjim Fola (nozzle medium)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20nozzleC%20L.txt	Tanchjim Fola (nozzle: short)	Tanchjim Fola (nozzle short)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20nozzleC%20R.txt	Tanchjim Fola (nozzle: short)	Tanchjim Fola (nozzle short)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20S2%20L.txt	Tanchjim Fola (sample 2 :: nozzle: long)	Tanchjim Fola (sample 2 nozzle long)	in-ear	711
https://squig.link/data/Tanchjim%20Fola%20S2%20R.txt	Tanchjim Fola (sample 2 :: nozzle: long)	Tanchjim Fola (sample 2 nozzle long)	in-ear	711
https://superreview.squig.link/data/Tanchjim%20Hana%20L.txt	Tanchjim Hana (tips: stock)	Tanchjim Hana	in-ear	711
